economy_code,source_id,source_authority,source_url,reference_period,concept,granularity,machine_readable,status,rejection_reason
CHN,CHN_NBS_YEARBOOK_2022_NATIONAL_ACCOUNTS_BRIEF,National Bureau of Statistics of China,https://www.stats.gov.cn/sj/ndsj/2022/html/sme03.htm,2021,National accounts and 2020 input-output explanatory notes,INPUT_OUTPUT_PRODUCT_TABLES_2020,true,ACQUIRED_BUT_REJECTED,Acquired official Chinese resources did not match the reviewed structural markers for: CHN_NBS_YEARBOOK_2022_INDEX. No source is admitted until the changed content is reviewed.
CHN,CHN_NBS_YEARBOOK_2022_NATIONAL_ACCOUNTS_NOTES,National Bureau of Statistics of China,https://www.stats.gov.cn/sj/ndsj/2022/html/zbe03.pdf,2021,National accounts explanatory notes,METHODOLOGY_DOCUMENTATION,false,SOURCE_NOT_MACHINE_READABLE,Acquired official Chinese resources did not match the reviewed structural markers for: CHN_NBS_YEARBOOK_2022_INDEX. No source is admitted until the changed content is reviewed.
IDN,IDN_BPS_GDP_EXPENDITURE_2020_2024,Badan Pusat Statistik,https://www.bps.go.id/en/publication/2025/05/28/2a1c585ebbd574dd91afed67/gross-domestic-product-of-indonesia-by-expenditure--2020-2024.html,2020-2024,GDP by expenditure publication with grouped household consumption,HFCE_REGROUPED_PUBLICATION,unknown,ACCESS_BLOCKED,AcquisitionError: Acquisition failed for IDN_BPS_GDP_EXPENDITURE_2020_2024: attempt=1:HTTPError:HTTP Error 403: Forbidden; attempt=2:HTTPError:HTTP Error 403: Forbidden; attempt=3:HTTPError:HTTP Error 403: Forbidden; attempt=4:HTTPError:HTTP Error 403: Forbidden
IDN,IDN_BPS_STATISTICS_TABLES_EXPENDITURE,Badan Pusat Statistik,https://www.bps.go.id/en/statistics-table?subject=531,2021,BPS official expenditure-side statistics tables,BPS_DATABASE_DISCOVERY,unknown,ACCESS_BLOCKED,AcquisitionError: Acquisition failed for IDN_BPS_STATISTICS_TABLES_EXPENDITURE: attempt=1:HTTPError:HTTP Error 403: Forbidden; attempt=2:HTTPError:HTTP Error 403: Forbidden; attempt=3:HTTPError:HTTP Error 403: Forbidden; attempt=4:HTTPError:HTTP Error 403: Forbidden
IDN,IDN_BPS_NATIONAL_ACCOUNTS_DOWNLOAD_SEARCH,Badan Pusat Statistik,https://www.bps.go.id/en/publication?keyword=gross%20domestic%20product%20expenditure,2021,Downloadable national-accounts publication search,DOWNLOAD_DISCOVERY_ONLY,unknown,ACCESS_BLOCKED,AcquisitionError: Acquisition failed for IDN_BPS_NATIONAL_ACCOUNTS_DOWNLOAD_SEARCH: attempt=1:HTTPError:HTTP Error 403: Forbidden; attempt=2:HTTPError:HTTP Error 403: Forbidden; attempt=3:HTTPError:HTTP Error 403: Forbidden; attempt=4:HTTPError:HTTP Error 403: Forbidden
IDN,IDN_BPS_SUPPLY_USE_TABLES,Badan Pusat Statistik,https://www.bps.go.id/en/publication?keyword=supply%20use%20table,2021,BPS supply and use table family,SUT_PRODUCT_TABLE_DISCOVERY,unknown,ACCESS_BLOCKED,AcquisitionError: Acquisition failed for IDN_BPS_SUPPLY_USE_TABLES: attempt=1:HTTPError:HTTP Error 403: Forbidden; attempt=2:HTTPError:HTTP Error 403: Forbidden; attempt=3:HTTPError:HTTP Error 403: Forbidden; attempt=4:HTTPError:HTTP Error 403: Forbidden
IDN,IDN_BPS_INPUT_OUTPUT_TABLES,Badan Pusat Statistik,https://www.bps.go.id/en/publication?keyword=input%20output%20table,2021,BPS input-output table family,INPUT_OUTPUT_PRODUCT_TABLE_DISCOVERY,unknown,ACCESS_BLOCKED,AcquisitionError: Acquisition failed for IDN_BPS_INPUT_OUTPUT_TABLES: attempt=1:HTTPError:HTTP Error 403: Forbidden; attempt=2:HTTPError:HTTP Error 403: Forbidden; attempt=3:HTTPError:HTTP Error 403: Forbidden; attempt=4:HTTPError:HTTP Error 403: Forbidden
IDN,IDN_BPS_SURVEY_OR_CPI_CLASS_C,Badan Pusat Statistik,https://www.bps.go.id/en/statistics-table?subject=3,2021,Household survey or CPI evidence,SURVEY_OR_CPI_CLASS_C_ONLY,unknown,ACCESS_BLOCKED,AcquisitionError: Acquisition failed for IDN_BPS_SURVEY_OR_CPI_CLASS_C: attempt=1:HTTPError:HTTP Error 403: Forbidden; attempt=2:HTTPError:HTTP Error 403: Forbidden; attempt=3:HTTPError:HTTP Error 403: Forbidden; attempt=4:HTTPError:HTTP Error 403: Forbidden
IDN,IDN_BPS_CLASSIFICATION_METHODOLOGY,Badan Pusat Statistik,https://www.bps.go.id/en/publication?keyword=classification%20coicop,2021,Classification and methodology documents,CLASSIFICATION_METHODOLOGY_DISCOVERY,unknown,ACCESS_BLOCKED,AcquisitionError: Acquisition failed for IDN_BPS_CLASSIFICATION_METHODOLOGY: attempt=1:HTTPError:HTTP Error 403: Forbidden; attempt=2:HTTPError:HTTP Error 403: Forbidden; attempt=3:HTTPError:HTTP Error 403: Forbidden; attempt=4:HTTPError:HTTP Error 403: Forbidden
BRA,BRA_IBGE_SIDRA_CNT_TABLES,Instituto Brasileiro de Geografia e Estatistica,https://sidra.ibge.gov.br/pesquisa/cnt/tabelas,2021,SIDRA national-accounts table discovery,SIDRA_DISCOVERY,partly,ACQUIRED_BUT_REJECTED,SIDRA landing evidence does not pin an exact 2021 household-purpose table.
BRA,BRA_IBGE_SISTEMA_CONTAS_NACIONAIS,Instituto Brasileiro de Geografia e Estatistica,https://www.ibge.gov.br/estatisticas/economicas/contas-nacionais/9052-sistema-de-contas-nacionais-brasil.html,2021,Sistema de Contas Nacionais,SCN_PUBLICATION_FAMILY,partly,ACQUIRED_BUT_REJECTED,The SCN publication family does not expose a pinned strict S14/P31DC twelve-purpose table in this probe.
BRA,BRA_IBGE_CONTAS_ECONOMICAS_INTEGRADAS,Instituto Brasileiro de Geografia e Estatistica,https://www.ibge.gov.br/estatisticas/economicas/contas-nacionais/9052-sistema-de-contas-nacionais-brasil.html?=&t=resultados,2021,Contas Economicas Integradas,INSTITUTIONAL_ACCOUNTS,unknown,ACCESS_BLOCKED,"AcquisitionError: Acquisition failed for BRA_IBGE_CONTAS_ECONOMICAS_INTEGRADAS: attempt=1:URLError:<urlopen error [WinError 10060] Uma tentativa de ligação falhou porque o componente ligado não respondeu
corretamente após um período de tempo, ou a ligação estabelecida falhou
porque o anfitrião ligado não respondeu>; attempt=2:URLError:<urlopen error [WinError 10060] Uma tentativa de ligação falhou porque o componente ligado não respondeu
corretamente após um período de tempo, ou a ligação estabelecida falhou
porque o anfitrião ligado não respondeu>; attempt=3:URLError:<urlopen error [WinError 10060] Uma tentativa de ligação falhou porque o componente ligado não respondeu
corretamente após um período de tempo, ou a ligação estabelecida falhou
porque o anfitrião ligado não respondeu>; attempt=4:URLError:<urlopen error [WinError 10060] Uma tentativa de ligação falhou porque o componente ligado não respondeu
corretamente após um período de tempo, ou a ligação estabelecida falhou
porque o anfitrião ligado não respondeu>"
BRA,BRA_IBGE_TABELAS_RECURSOS_USOS,Instituto Brasileiro de Geografia e Estatistica,https://www.ibge.gov.br/estatisticas/economicas/contas-nacionais/9052-sistema-de-contas-nacionais-brasil.html?=&t=resultados,2021,Tabelas de Recursos e Usos,TRU_PRODUCT_TABLES,partly,ACQUIRED_BUT_REJECTED,TRU is product/resource-use evidence; exact COICOP weights would require many-to-many allocation.
BRA,BRA_IBGE_DOWNLOADABLE_SCN_TABLES,Instituto Brasileiro de Geografia e Estatistica,https://www.ibge.gov.br/estatisticas/downloads-estatisticas.html,2021,Downloadable SCN tables,DOWNLOAD_DISCOVERY_ONLY,partly,ACQUIRED_BUT_REJECTED,A downloads page is not a pinned exact dataset.
BRA,BRA_IBGE_POF_IPCA_CLASS_C,Instituto Brasileiro de Geografia e Estatistica,https://www.ibge.gov.br/estatisticas/sociais/populacao/24786-pesquisa-de-orcamentos-familiares-2.html,2021,POF household-budget survey and IPCA evidence,SURVEY_OR_CPI_CLASS_C_ONLY,unknown,ACCESS_BLOCKED,"AcquisitionError: Acquisition failed for BRA_IBGE_POF_IPCA_CLASS_C: attempt=1:URLError:<urlopen error [WinError 10060] Uma tentativa de ligação falhou porque o componente ligado não respondeu
corretamente após um período de tempo, ou a ligação estabelecida falhou
porque o anfitrião ligado não respondeu>; attempt=2:URLError:<urlopen error [WinError 10060] Uma tentativa de ligação falhou porque o componente ligado não respondeu
corretamente após um período de tempo, ou a ligação estabelecida falhou
porque o anfitrião ligado não respondeu>; attempt=3:URLError:<urlopen error [WinError 10060] Uma tentativa de ligação falhou porque o componente ligado não respondeu
corretamente após um período de tempo, ou a ligação estabelecida falhou
porque o anfitrião ligado não respondeu>; attempt=4:URLError:<urlopen error [WinError 10060] Uma tentativa de ligação falhou porque o componente ligado não respondeu
corretamente após um período de tempo, ou a ligação estabelecida falhou
porque o anfitrião ligado não respondeu>"
BRA,BRA_IBGE_CLASSIFICACOES_METODOLOGIA,Instituto Brasileiro de Geografia e Estatistica,https://www.ibge.gov.br/estatisticas/metodos-e-classificacoes/classificacoes-e-listas-estatisticas.html,2021,IBGE classifications and methodology,METHODOLOGY_DOCUMENTATION,partly,ACQUIRED_REVIEW_REQUIRED,Methodology documentation does not itself supply expenditure values.
EGY,EGY_CAPMAS_NATIONAL_ACCOUNTS_CATALOG,Central Agency for Public Mobilization and Statistics,https://censusinfo.capmas.gov.eg/Metadata-en-v4.2/index.php/catalog/National_Accounts?reset=reset,2021,CAPMAS National Accounts collection,CATALOGUE_INVENTORY,partly,ACQUIRED_BUT_REJECTED,The official catalogue inventory lists historical SUT and input-output studies but no 2021 twelve-purpose S14/P31 table.
EGY,EGY_CAPMAS_NATIONAL_ACCOUNTS_EXPORT_CSV,Central Agency for Public Mobilization and Statistics,https://censusinfo.capmas.gov.eg/Metadata-en-v4.2/index.php/catalog/export/csv?collection%5B%5D=National_Accounts&ps=5000,2021,Machine-readable National Accounts catalogue inventory,CATALOGUE_INVENTORY_CSV,true,ACQUIRED_BUT_REJECTED,"The CSV is an inventory, not expenditure values, and does not identify a 2021 exact-purpose table."
EGY,EGY_CAPMAS_SUT_2017_2018_METHOD,Central Agency for Public Mobilization and Statistics,https://censusinfo.capmas.gov.eg/Metadata-en-v4.2/index.php/catalog/518/study-description,2017-18,Supply and Use Tables 2017/2018,SUT_PRODUCT_ACTIVITY_TABLES,partly,ACQUIRED_BUT_REJECTED,"The SUT benchmark is 2017/2018 and organised by products and activities, not a 2021 twelve-purpose table."
EGY,EGY_CAPMAS_HIECS_2021,Central Agency for Public Mobilization and Statistics,https://www.censusinfo.capmas.gov.eg/metadata-en-v4.2/index.php/catalog/747/overview,2021,"Survey of Income, Expenditure and Consumption 2021",HIECS_HOUSEHOLD_SURVEY,unknown,ACCESS_BLOCKED,"AcquisitionError: Acquisition failed for EGY_CAPMAS_HIECS_2021: attempt=1:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.censusinfo.capmas.gov.eg'. (_ssl.c:1082)>; attempt=2:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.censusinfo.capmas.gov.eg'. (_ssl.c:1082)>; attempt=3:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.censusinfo.capmas.gov.eg'. (_ssl.c:1082)>; attempt=4:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.censusinfo.capmas.gov.eg'. (_ssl.c:1082)>"
EGY,EGY_CAPMAS_CENTRAL_DATA_CATALOG,Central Agency for Public Mobilization and Statistics,https://www.censusinfo.capmas.gov.eg/Metadata-en-v4.2/index.php/catalog/?sort_by=titl&sort_order=desc,2021,CAPMAS Central Data Catalog,DISCOVERY_CATALOGUE,unknown,ACCESS_BLOCKED,"AcquisitionError: Acquisition failed for EGY_CAPMAS_CENTRAL_DATA_CATALOG: attempt=1:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.censusinfo.capmas.gov.eg'. (_ssl.c:1082)>; attempt=2:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.censusinfo.capmas.gov.eg'. (_ssl.c:1082)>; attempt=3:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.censusinfo.capmas.gov.eg'. (_ssl.c:1082)>; attempt=4:URLError:<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.censusinfo.capmas.gov.eg'. (_ssl.c:1082)>"
PAK,PAK_PBS_NATIONAL_ACCOUNTS_PAGE,Pakistan Bureau of Statistics,https://www.pbs.gov.pk/national-accounts-2/,2021-22,Annual national accounts and expenditure on GDP,SNA_2008_AGGREGATE_EXPENDITURE,partly,ACQUIRED_BUT_REJECTED,The national-accounts portal confirms aggregate expenditure-GDP series but does not expose HFCE by twelve household purposes.
PAK,PAK_PBS_NATIONAL_ACCOUNTS_XLSX,Pakistan Bureau of Statistics,https://www.pbs.gov.pk/wp-content/uploads/2020/07/National-Accounts-Annual-Tables-2024-25-Updated-March-2026.xlsx,2021-22,Annual national accounts tables,SNA_2008_AGGREGATE_EXPENDITURE_XLSX,true,ACQUIRED_BUT_REJECTED,"The workbook supplies aggregate HFCE for fiscal 2021-22, not calendar-2021 expenditure by twelve purposes."
PAK,PAK_PBS_NATIONAL_ACCOUNTS_FAQ,Pakistan Bureau of Statistics,https://www.pbs.gov.pk/docs/national-accounts/,METHODOLOGY,National accounts scope and demand-side methodology,SNA_2008_METHODOLOGY,partly,ACQUIRED_BUT_REJECTED,The methodology confirms aggregate household final consumption as a GDP component but no purpose-classified table.
PAK,PAK_PBS_HIES_2018_19,Pakistan Bureau of Statistics,https://www.pbs.gov.pk/hies/,2018-19,Household Integrated Economic Survey 2018-19,HIES_COICOP_HOUSEHOLD_SURVEY,partly,ACQUIRED_BUT_REJECTED,"HIES provides COICOP household-survey shares for 2018-19, not national-accounts S14/P31 values for 2021."
PAK,PAK_PBS_NATIONAL_ACCOUNTS_METHODOLOGY_PDF,Pakistan Bureau of Statistics,https://www.pbs.gov.pk/wp-content/uploads/2020/07/National-Accounts-of-Pakistan-Backward-Revisions-for-the-Years-1999-2000-to-2014-15-on-the-base-year-2015-16.pdf,METHODOLOGY,Backward-series national-accounts methodology,OFFICIAL_METHODOLOGY_PDF,false,ACQUIRED_BUT_REJECTED,The methodology documents separate aggregate HFCE and NPISH compilation but is not a purpose-classified 2021 dataset.
NGA,NGA_NBS_ELIBRARY_REPORT_PAGE,National Bureau of Statistics,https://www.nigerianstat.gov.ng/elibrary/read/1241168,2021,GDP expenditure and income approach report,SNA_AGGREGATE_EXPENDITURE,partly,ACQUIRED_BUT_REJECTED,The official 2021 expenditure-GDP release reports household consumption only as an aggregate component.
NGA,NGA_NBS_GDP_EXPENDITURE_2021_PDF,National Bureau of Statistics,https://www.nigerianstat.gov.ng/pdfuploads/Expenditure%20Report%20Revised_Q2%202020%20-Q3%202021%20and%20Provisional%20Q4%202021.pdf,2021,2021 expenditure-GDP report download,SNA_AGGREGATE_EXPENDITURE_PDF,false,ACQUIRED_BUT_REJECTED,The official PDF preserves the 2021 aggregate expenditure evidence but does not provide a machine-readable twelve-purpose table.
NGA,NGA_NBS_CONSUMPTION_PATTERN_2019,National Bureau of Statistics,https://www.nigerianstat.gov.ng/elibrary/read/1094,2019,Consumption Expenditure Pattern in Nigeria 2019,HOUSEHOLD_SURVEY_CONSUMPTION_PATTERN,partly,ACQUIRED_BUT_REJECTED,"The 2019 household-consumption study is survey evidence, has the wrong period and does not constitute national-accounts S14/P31 by twelve purposes."
NGA,NGA_NBS_ELIBRARY,National Bureau of Statistics,https://nigerianstat.gov.ng/elibrary,2021,NBS e-library and open-data portal,DISCOVERY_CATALOGUE,partly,ACQUIRED_BUT_REJECTED,The portal is source-discovery evidence and not itself an exact dataset.
BGD,BGD_BBS_NSDS_PORTAL,Bangladesh Bureau of Statistics,https://nsds.bbs.gov.bd/,2021,BBS national statistical dissemination portal,AGGREGATE_STATISTICAL_PORTAL,unknown,ACCESS_BLOCKED,"AcquisitionError: Acquisition failed for BGD_BBS_NSDS_PORTAL: attempt=1:URLError:<urlopen error [WinError 10060] Uma tentativa de ligação falhou porque o componente ligado não respondeu
corretamente após um período de tempo, ou a ligação estabelecida falhou
porque o anfitrião ligado não respondeu>; attempt=2:URLError:<urlopen error [WinError 10060] Uma tentativa de ligação falhou porque o componente ligado não respondeu
corretamente após um período de tempo, ou a ligação estabelecida falhou
porque o anfitrião ligado não respondeu>; attempt=3:URLError:<urlopen error [WinError 10060] Uma tentativa de ligação falhou porque o componente ligado não respondeu
corretamente após um período de tempo, ou a ligação estabelecida falhou
porque o anfitrião ligado não respondeu>; attempt=4:URLError:<urlopen error [WinError 10060] Uma tentativa de ligação falhou porque o componente ligado não respondeu
corretamente após um período de tempo, ou a ligação estabelecida falhou
porque o anfitrião ligado não respondeu>"
BGD,BGD_BBS_RELEASE_CALENDAR_NATIONAL_ACCOUNTS,Bangladesh Bureau of Statistics,https://nsds.bbs.gov.bd/en/release-calendar,2021,Official release calendar for national accounts,PUBLICATION_INVENTORY,unknown,ACCESS_BLOCKED,"AcquisitionError: Acquisition failed for BGD_BBS_RELEASE_CALENDAR_NATIONAL_ACCOUNTS: attempt=1:URLError:<urlopen error [WinError 10060] Uma tentativa de ligação falhou porque o componente ligado não respondeu
corretamente após um período de tempo, ou a ligação estabelecida falhou
porque o anfitrião ligado não respondeu>; attempt=2:URLError:<urlopen error [WinError 10060] Uma tentativa de ligação falhou porque o componente ligado não respondeu
corretamente após um período de tempo, ou a ligação estabelecida falhou
porque o anfitrião ligado não respondeu>; attempt=3:URLError:<urlopen error [WinError 10060] Uma tentativa de ligação falhou porque o componente ligado não respondeu
corretamente após um período de tempo, ou a ligação estabelecida falhou
porque o anfitrião ligado não respondeu>; attempt=4:URLError:<urlopen error [WinError 10060] Uma tentativa de ligação falhou porque o componente ligado não respondeu
corretamente após um período de tempo, ou a ligação estabelecida falhou
porque o anfitrião ligado não respondeu>"
BGD,BGD_BBS_HIES_DOCUMENTATION,Bangladesh Bureau of Statistics,https://nsds.bbs.gov.bd/en/posts/85/Survey%20documentation%20for%20the%20Household%20Income%20and%20Expenditure%20Survey,2022,Household Income and Expenditure Survey documentation,HIES_HOUSEHOLD_SURVEY,unknown,ACCESS_BLOCKED,"AcquisitionError: Acquisition failed for BGD_BBS_HIES_DOCUMENTATION: attempt=1:URLError:<urlopen error [WinError 10060] Uma tentativa de ligação falhou porque o componente ligado não respondeu
corretamente após um período de tempo, ou a ligação estabelecida falhou
porque o anfitrião ligado não respondeu>; attempt=2:URLError:<urlopen error [WinError 10060] Uma tentativa de ligação falhou porque o componente ligado não respondeu
corretamente após um período de tempo, ou a ligação estabelecida falhou
porque o anfitrião ligado não respondeu>; attempt=3:URLError:<urlopen error [WinError 10060] Uma tentativa de ligação falhou porque o componente ligado não respondeu
corretamente após um período de tempo, ou a ligação estabelecida falhou
porque o anfitrião ligado não respondeu>; attempt=4:URLError:<urlopen error [WinError 10060] Uma tentativa de ligação falhou porque o componente ligado não respondeu
corretamente após um período de tempo, ou a ligação estabelecida falhou
porque o anfitrião ligado não respondeu>"
