economy_code,economy_name,source_family,family_order,attempts_recorded,best_status,best_dataset,best_url,remaining_gap,can_support_exact_matrix
RUT,Russian Federation,exhaustive_unavailability_documentation,7,0,NOT_INVESTIGATED_IN_CURRENT_PROBE,,,"The current run could not acquire or validate all critical official Russian source families: RUT_FEDSTAT_HFCE_31414, RUT_ROSSTAT_HBS_2021, RUT_ROSSTAT_SUT_2021_XLSX. The absence of an admissible exact table cannot be treated as proven while these attempts are blocked.",false
CHN,China,official_national_accounts_api,1,0,NOT_INVESTIGATED_IN_CURRENT_PROBE,,,Acquired official Chinese resources did not match the reviewed structural markers for: CHN_NBS_YEARBOOK_2022_INDEX. No source is admitted until the changed content is reviewed.,false
CHN,China,official_csv_xls_xlsx,2,0,NOT_INVESTIGATED_IN_CURRENT_PROBE,,,Acquired official Chinese resources did not match the reviewed structural markers for: CHN_NBS_YEARBOOK_2022_INDEX. No source is admitted until the changed content is reviewed.,false
CHN,China,official_statistical_database,3,0,NOT_INVESTIGATED_IN_CURRENT_PROBE,,,Acquired official Chinese resources did not match the reviewed structural markers for: CHN_NBS_YEARBOOK_2022_INDEX. No source is admitted until the changed content is reviewed.,false
CHN,China,official_supply_and_use_tables,4,10,ACQUIRED_CLASS_C_SURVEY,CHN_NBS_2021_HOUSEHOLD_CONSUMPTION,https://www.stats.gov.cn/english/PressRelease/202201/t20220118_1826649.html,Acquired official Chinese resources did not match the reviewed structural markers for: CHN_NBS_YEARBOOK_2022_INDEX. No source is admitted until the changed content is reviewed.,false
CHN,China,official_structured_publications,5,20,ACQUIRED_AGGREGATE_ONLY,CHN_NBS_2021_GDP_FINAL_VERIFICATION,https://www.stats.gov.cn/english/PressRelease/202212/t20221227_1891279.html,Acquired official Chinese resources did not match the reviewed structural markers for: CHN_NBS_YEARBOOK_2022_INDEX. No source is admitted until the changed content is reviewed.,false
CHN,China,survey_or_cpi_class_c_only,6,0,NOT_INVESTIGATED_IN_CURRENT_PROBE,,,Acquired official Chinese resources did not match the reviewed structural markers for: CHN_NBS_YEARBOOK_2022_INDEX. No source is admitted until the changed content is reviewed.,false
CHN,China,exhaustive_unavailability_documentation,7,0,NOT_INVESTIGATED_IN_CURRENT_PROBE,,,Acquired official Chinese resources did not match the reviewed structural markers for: CHN_NBS_YEARBOOK_2022_INDEX. No source is admitted until the changed content is reviewed.,false
IDN,Indonesia,official_national_accounts_api,1,0,NOT_INVESTIGATED_IN_CURRENT_PROBE,,,Official source identified in probe regroups COICOP and cannot be bridged exactly to twelve Armilar categories.,false
IDN,Indonesia,official_csv_xls_xlsx,2,0,NOT_INVESTIGATED_IN_CURRENT_PROBE,,,Official source identified in probe regroups COICOP and cannot be bridged exactly to twelve Armilar categories.,false
IDN,Indonesia,official_statistical_database,3,0,NOT_INVESTIGATED_IN_CURRENT_PROBE,,,Official source identified in probe regroups COICOP and cannot be bridged exactly to twelve Armilar categories.,false
IDN,Indonesia,official_supply_and_use_tables,4,5,NO_ADMISSIBLE_SOURCE_FOUND_IN_CURRENT_PROBE,BPS_SUPPLY_USE_OR_NATIONAL_ACCOUNTS_SEARCH,https://www.bps.go.id/en,No exact COICOP-HH bridge without allocation was found in adapter inputs.,false
IDN,Indonesia,official_structured_publications,5,10,NO_ADMISSIBLE_SOURCE_FOUND_IN_CURRENT_PROBE,IDN_BPS_OFFICIAL_SOURCE_AUDIT,https://www.bps.go.id/en/publication/2025/05/28/2a1c585ebbd574dd91afed67/gross-domestic-product-of-indonesia-by-expenditure--2020-2024.html,Official source identified in probe regroups COICOP and cannot be bridged exactly to twelve Armilar categories.,false
IDN,Indonesia,survey_or_cpi_class_c_only,6,0,NOT_INVESTIGATED_IN_CURRENT_PROBE,,,Official source identified in probe regroups COICOP and cannot be bridged exactly to twelve Armilar categories.,false
IDN,Indonesia,exhaustive_unavailability_documentation,7,0,NOT_INVESTIGATED_IN_CURRENT_PROBE,,,Official source identified in probe regroups COICOP and cannot be bridged exactly to twelve Armilar categories.,false
BRA,Brazil,official_national_accounts_api,1,5,NO_ADMISSIBLE_SOURCE_FOUND_IN_CURRENT_PROBE,IBGE_SIDRA_NATIONAL_ACCOUNTS,https://sidra.ibge.gov.br/pesquisa/cnt/tabelas,No accepted exact household-purpose COICOP table was integrated.,false
BRA,Brazil,official_csv_xls_xlsx,2,0,NOT_INVESTIGATED_IN_CURRENT_PROBE,,,Official product tables would require many-to-many product-to-COICOP allocation.,false
BRA,Brazil,official_statistical_database,3,0,NOT_INVESTIGATED_IN_CURRENT_PROBE,,,Official product tables would require many-to-many product-to-COICOP allocation.,false
BRA,Brazil,official_supply_and_use_tables,4,0,NOT_INVESTIGATED_IN_CURRENT_PROBE,,,Official product tables would require many-to-many product-to-COICOP allocation.,false
BRA,Brazil,official_structured_publications,5,10,NO_ADMISSIBLE_SOURCE_FOUND_IN_CURRENT_PROBE,BRA_IBGE_OFFICIAL_SOURCE_AUDIT,https://www.ibge.gov.br/estatisticas/economicas/comercio/9052-sistema-de-contas-nacionais-brasil.html,Official product tables would require many-to-many product-to-COICOP allocation.,false
BRA,Brazil,survey_or_cpi_class_c_only,6,0,NOT_INVESTIGATED_IN_CURRENT_PROBE,,,Official product tables would require many-to-many product-to-COICOP allocation.,false
BRA,Brazil,exhaustive_unavailability_documentation,7,0,NOT_INVESTIGATED_IN_CURRENT_PROBE,,,Official product tables would require many-to-many product-to-COICOP allocation.,false
EGY,Egypt,official_national_accounts_api,1,0,NOT_INVESTIGATED_IN_CURRENT_PROBE,,,"Official HIECS is a survey source, not national-accounts S14/P31 current-price HFCE.",false
EGY,Egypt,official_csv_xls_xlsx,2,0,NOT_INVESTIGATED_IN_CURRENT_PROBE,,,"Official HIECS is a survey source, not national-accounts S14/P31 current-price HFCE.",false
EGY,Egypt,official_statistical_database,3,0,NOT_INVESTIGATED_IN_CURRENT_PROBE,,,"Official HIECS is a survey source, not national-accounts S14/P31 current-price HFCE.",false
EGY,Egypt,official_supply_and_use_tables,4,0,NOT_INVESTIGATED_IN_CURRENT_PROBE,,,"Official HIECS is a survey source, not national-accounts S14/P31 current-price HFCE.",false
EGY,Egypt,official_structured_publications,5,0,NOT_INVESTIGATED_IN_CURRENT_PROBE,,,"Official HIECS is a survey source, not national-accounts S14/P31 current-price HFCE.",false
EGY,Egypt,survey_or_cpi_class_c_only,6,5,NO_ADMISSIBLE_SOURCE_FOUND_IN_CURRENT_PROBE,EGY_CAPMAS_OFFICIAL_SOURCE_AUDIT,https://www.censusinfo.capmas.gov.eg/metadata-en-v4.2/index.php/catalog/747/overview,"Official HIECS is a survey source, not national-accounts S14/P31 current-price HFCE.",false
EGY,Egypt,exhaustive_unavailability_documentation,7,0,NOT_INVESTIGATED_IN_CURRENT_PROBE,,,"Official HIECS is a survey source, not national-accounts S14/P31 current-price HFCE.",false
PAK,Pakistan,official_national_accounts_api,1,0,NOT_INVESTIGATED_IN_CURRENT_PROBE,,,Public national-accounts source does not expose a twelve-category strict household table.,false
PAK,Pakistan,official_csv_xls_xlsx,2,0,NOT_INVESTIGATED_IN_CURRENT_PROBE,,,Public national-accounts source does not expose a twelve-category strict household table.,false
PAK,Pakistan,official_statistical_database,3,0,NOT_INVESTIGATED_IN_CURRENT_PROBE,,,Public national-accounts source does not expose a twelve-category strict household table.,false
PAK,Pakistan,official_supply_and_use_tables,4,0,NOT_INVESTIGATED_IN_CURRENT_PROBE,,,Public national-accounts source does not expose a twelve-category strict household table.,false
PAK,Pakistan,official_structured_publications,5,5,NO_ADMISSIBLE_SOURCE_FOUND_IN_CURRENT_PROBE,PAK_PBS_OFFICIAL_SOURCE_AUDIT,https://www.pbs.gov.pk/national-accounts-2/,Public national-accounts source does not expose a twelve-category strict household table.,false
PAK,Pakistan,survey_or_cpi_class_c_only,6,0,NOT_INVESTIGATED_IN_CURRENT_PROBE,,,Public national-accounts source does not expose a twelve-category strict household table.,false
PAK,Pakistan,exhaustive_unavailability_documentation,7,0,NOT_INVESTIGATED_IN_CURRENT_PROBE,,,Public national-accounts source does not expose a twelve-category strict household table.,false
NGA,Nigeria,official_national_accounts_api,1,0,NOT_INVESTIGATED_IN_CURRENT_PROBE,,,"Official expenditure-GDP report publishes aggregate household consumption, not twelve categories.",false
NGA,Nigeria,official_csv_xls_xlsx,2,0,NOT_INVESTIGATED_IN_CURRENT_PROBE,,,"Official expenditure-GDP report publishes aggregate household consumption, not twelve categories.",false
NGA,Nigeria,official_statistical_database,3,0,NOT_INVESTIGATED_IN_CURRENT_PROBE,,,"Official expenditure-GDP report publishes aggregate household consumption, not twelve categories.",false
NGA,Nigeria,official_supply_and_use_tables,4,0,NOT_INVESTIGATED_IN_CURRENT_PROBE,,,"Official expenditure-GDP report publishes aggregate household consumption, not twelve categories.",false
NGA,Nigeria,official_structured_publications,5,5,NO_ADMISSIBLE_SOURCE_FOUND_IN_CURRENT_PROBE,NGA_NBS_OFFICIAL_SOURCE_AUDIT,https://www.nigerianstat.gov.ng/elibrary/read/1241168,"Official expenditure-GDP report publishes aggregate household consumption, not twelve categories.",false
NGA,Nigeria,survey_or_cpi_class_c_only,6,0,NOT_INVESTIGATED_IN_CURRENT_PROBE,,,"Official expenditure-GDP report publishes aggregate household consumption, not twelve categories.",false
NGA,Nigeria,exhaustive_unavailability_documentation,7,0,NOT_INVESTIGATED_IN_CURRENT_PROBE,,,"Official expenditure-GDP report publishes aggregate household consumption, not twelve categories.",false
BGD,Bangladesh,official_national_accounts_api,1,0,NOT_INVESTIGATED_IN_CURRENT_PROBE,,,Official HIES reference year and concept do not satisfy 2021 national-accounts HFCE gates.,false
BGD,Bangladesh,official_csv_xls_xlsx,2,0,NOT_INVESTIGATED_IN_CURRENT_PROBE,,,Official HIES reference year and concept do not satisfy 2021 national-accounts HFCE gates.,false
BGD,Bangladesh,official_statistical_database,3,0,NOT_INVESTIGATED_IN_CURRENT_PROBE,,,Official HIES reference year and concept do not satisfy 2021 national-accounts HFCE gates.,false
BGD,Bangladesh,official_supply_and_use_tables,4,0,NOT_INVESTIGATED_IN_CURRENT_PROBE,,,Official HIES reference year and concept do not satisfy 2021 national-accounts HFCE gates.,false
BGD,Bangladesh,official_structured_publications,5,0,NOT_INVESTIGATED_IN_CURRENT_PROBE,,,Official HIES reference year and concept do not satisfy 2021 national-accounts HFCE gates.,false
BGD,Bangladesh,survey_or_cpi_class_c_only,6,5,NO_ADMISSIBLE_SOURCE_FOUND_IN_CURRENT_PROBE,BGD_BBS_OFFICIAL_SOURCE_AUDIT,https://nsds.bbs.gov.bd/en/posts/85/Survey%20documentation%20for%20the%20Household%20Income%20and%20Expenditure%20Survey,Official HIES reference year and concept do not satisfy 2021 national-accounts HFCE gates.,false
BGD,Bangladesh,exhaustive_unavailability_documentation,7,0,NOT_INVESTIGATED_IN_CURRENT_PROBE,,,Official HIES reference year and concept do not satisfy 2021 national-accounts HFCE gates.,false
VNM,Viet Nam,official_national_accounts_api,1,0,NOT_INVESTIGATED_IN_CURRENT_PROBE,,,"Official VHLSS is 2022 survey evidence only, not exact 2021 S14/P31 HFCE.",false
VNM,Viet Nam,official_csv_xls_xlsx,2,0,NOT_INVESTIGATED_IN_CURRENT_PROBE,,,"Official VHLSS is 2022 survey evidence only, not exact 2021 S14/P31 HFCE.",false
VNM,Viet Nam,official_statistical_database,3,0,NOT_INVESTIGATED_IN_CURRENT_PROBE,,,"Official VHLSS is 2022 survey evidence only, not exact 2021 S14/P31 HFCE.",false
VNM,Viet Nam,official_supply_and_use_tables,4,0,NOT_INVESTIGATED_IN_CURRENT_PROBE,,,"Official VHLSS is 2022 survey evidence only, not exact 2021 S14/P31 HFCE.",false
VNM,Viet Nam,official_structured_publications,5,0,NOT_INVESTIGATED_IN_CURRENT_PROBE,,,"Official VHLSS is 2022 survey evidence only, not exact 2021 S14/P31 HFCE.",false
VNM,Viet Nam,survey_or_cpi_class_c_only,6,5,NO_ADMISSIBLE_SOURCE_FOUND_IN_CURRENT_PROBE,VNM_NSO_OFFICIAL_SOURCE_AUDIT,https://www.nso.gov.vn/en/default/2024/04/results-of-the-viet-nam-household-living-standards-survey-2022/,"Official VHLSS is 2022 survey evidence only, not exact 2021 S14/P31 HFCE.",false
VNM,Viet Nam,exhaustive_unavailability_documentation,7,0,NOT_INVESTIGATED_IN_CURRENT_PROBE,,,"Official VHLSS is 2022 survey evidence only, not exact 2021 S14/P31 HFCE.",false
