economy_code,economy_name,armilar_12_category_nominal_lcu,derived_narcotics_nominal_lcu,net_purchases_abroad_nominal_lcu,reconstructed_hfce_nominal_lcu,aic_nominal_lcu,aic_minus_hfce_lcu,aic_hfce_financing_gap_ratio,status,interpretation
FRA,France,1267871200005.000000000,4479000000.0000,-9318000000.000,1263032200005.000000000,1721004000017.000000000,457971800012.000000000,0.3625970897734729285216423107,PASS_DIAGNOSTIC_ONLY,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
GBR,United Kingdom,1305253559677.6042000000000,2831997859.3570000000000,606999541.182811000000000,1308692557078.144011000000000,1707665000000.000,398972442921.855989000000000,0.3048633850356900450273392987,PASS_DIAGNOSTIC_ONLY,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
GRC,Greece,134409152441.2534000000000,1115359886.8920000000000,-9390174614.5436000000000,126134337713.6018000000000,143020100012.999000000000,16885762299.3972000000000,0.1338712566734816251465411835,PASS_DIAGNOSTIC_ONLY,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
GTM,Guatemala,566669551024.74407000000000,0.00000000000000,-778591981.264355000000000,565890959043.479715000000000,612831265673.071000000000,46940306629.591285000000000,0.08294938429292818832880135457,PASS_DIAGNOSTIC_ONLY,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
HKG,"Hong Kong SAR, China",1717205947000.000000,4104000.000000,0,1717210051000.000000,2007303996000.000000,290093945000.000000,0.1689332908522557908089020380,PASS_DIAGNOSTIC_ONLY,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
HND,Honduras,564246519189.44986000000000,0.00004000000000,4468836906.97284000000000,568715356096.42274000000000,633625650781.637000000000,64910294685.21426000000000,0.1141349428838159525226517080,PASS_DIAGNOSTIC_ONLY,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
HRV,Croatia,41095176812.37672000000000,251607762.01072000000000,-8484357626.05053000000000,32862426948.33691000000000,40703200000.2655000000000,7840773051.92859000000000,0.2385938526163963994858816320,PASS_DIAGNOSTIC_ONLY,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
HUN,Hungary,26099782000001.000000000,219728000000.000,-790499000000.000,25529011000001.000000000,31966390000003.000000000,6437379000002.000000000,0.2521593570546758681972813332,PASS_DIAGNOSTIC_ONLY,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
IRL,Ireland,102807456196.3845000000000,919149997.0207000000000,-29186379.5174000000000,103697419813.8878000000000,141294500004.000000000,37597080190.1122000000000,0.3625652427764356623014974651,PASS_DIAGNOSTIC_ONLY,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
IRQ,Iraq,122665405240966.9854000000000,,,,,,,UNAVAILABLE,Financing exposure cannot be calculated because a required public control cell is unavailable.
ISL,Iceland,1657465198895.7498000000000,6530248192.6950000000000,-54962122179.6707000000000,1609033324908.7741000000000,2273548600012.000000000,664515275103.2259000000000,0.4129903742925282909141566453,PASS_DIAGNOSTIC_ONLY,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
ISR,Israel,750072154836.5904000000000,0.0000000000000,1935792709.68846000000000,752007947546.27886000000000,975762332900.0000000,223754385353.72114000000000,0.2975425806120901515709238772,PASS_DIAGNOSTIC_ONLY,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
ITA,Italy,1016254214811.7941000000000,15480473687.1160000000000,-12035699579.4756000000000,1019698988919.4345000000000,1239748100028.000000000,220049111108.5655000000000,0.2157981065978593241079597024,PASS_DIAGNOSTIC_ONLY,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
JPN,Japan,290990400000000.0,0.0,-196000000000,290794400000000.0,366380800000000.0,75586400000000.0,0.2599307276893915426156762304,PASS_DIAGNOSTIC_ONLY,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
KEN,Kenya,9018822308439.550000000000,11993393554.688000000000,-85207705566.4063000000000,8945607996427.8317000000000,9602098183593.75000000000,656490187165.9183000000000,0.07338687179541832786142176541,PASS_DIAGNOSTIC_ONLY,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
KGZ,Kyrgyz Republic,671221840950.4835100000000,1227000000.0000000000000,-11351100000.0000,661097740950.4835100000000,735137263750.484000000000,74039522800.0004900000000,0.1119948204535554152000048540,PASS_DIAGNOSTIC_ONLY,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
KOR,"Korea, Rep.",894933800636732.81000000000,-0.01000000000,5449845098730.22000000000,900383645735463.02000000000,1165821300000000.0,,,WARN_CONCEPT_OR_UNIT_MISMATCH,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
LTU,Lithuania,32117518881.9033000000000,32943045.7495000000000,14239984.8914000000000,32164701912.5442000000000,38610300002.000000000,6445598089.4558000000000,0.2003935278797663443468952225,PASS_DIAGNOSTIC_ONLY,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
LUX,Luxembourg,22943361947.1766000000000,33172091.2178000000000,-2465195638.0679000000000,20511338400.3265000000000,29732300005.9999000000000,9220961605.6734000000000,0.4495543599205900918433449148,PASS_DIAGNOSTIC_ONLY,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
LVA,Latvia,18642272870.2295000000000,47250448.4854000000000,-44840639.9861000000000,18644682678.7288000000000,22634400000.9999000000000,3989717322.2711000000000,0.2139868718078456517578090201,PASS_DIAGNOSTIC_ONLY,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
MEX,Mexico,18467837648000.000000,0.000000,-298682730000.00000,18169154918000.000000,19744561193000.000000,1575406275000.000000,0.08670773528598519267686283702,PASS_DIAGNOSTIC_ONLY,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
MLT,Malta,6552108871.9211000000000,33632143.2189000000000,-474512680.7346000000000,6111228334.4054000000000,8212000004.000000000,2100771669.5946000000000,0.3437560429165337909302927383,PASS_DIAGNOSTIC_ONLY,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
MNE,Montenegro,4322603699.5415000000000,16381854.7847000000000,-721837845.0837000000000,3617147709.2425000000000,4122300032.0002000000000,505152322.7577000000000,0.1396548781977965091823222380,PASS_DIAGNOSTIC_ONLY,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
MNG,Mongolia,21694243498088.904000000000,156660716496.349000000000,1101800972352.41000000000,22952705186937.663000000000,25593911384804.7000000000,2641206197867.037000000000,0.1150716735284929280921167292,PASS_DIAGNOSTIC_ONLY,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
MSR,Montserrat,136286843.132731755000000000,0.000000005000000000,6573408.69293164000000000,142860251.825663400000000000,162809099.456567000000000,19948847.630903600000000000,0.1396388944858348009383266898,PASS_DIAGNOSTIC_ONLY,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
MYS,Malaysia,882599314136.84879000000000,0.00001000000000,14827417000.000000,897426731136.84880000000000,1007080879841.92000000000,109654148705.07120000000000,0.1221872994201573595639985116,PASS_DIAGNOSTIC_ONLY,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
NLD,Netherlands,353904000004.000000000,1479000000.000,-453000000.000,354930000004.000000000,513496000020.00000000,158566000016.000000000,0.4467528808897895034977061448,PASS_DIAGNOSTIC_ONLY,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
NOR,Norway,1511980805059.9119000000000,1668679414.2465000000000,13513973475.9721000000000,1527163457950.1305000000000,2266264000023.000000000,739100542072.8695000000000,0.4839695045250387448741007131,PASS_DIAGNOSTIC_ONLY,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
NZL,New Zealand,196765654672.72106000000000,0.00002000000000,2613050604.06865000000000,199378705276.78973000000000,246219088212.747000000000,46840382935.95727000000000,0.2349317238815979950234802608,PASS_DIAGNOSTIC_ONLY,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
PHL,Philippines,14608547719289.6741000000000,-0.0001000000000,0,14608547719289.6740000000000,15642217493354.2000000000,,,WARN_CONCEPT_OR_UNIT_MISMATCH,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
POL,Poland,1474623267619.8446000000000,9567600092.0672000000000,-3626310034.8953000000000,1480564557677.0165000000000,1756765000003.000000000,276200442325.9835000000000,0.1865507592315581534704452670,PASS_DIAGNOSTIC_ONLY,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
PRT,Portugal,139621440814.6144000000000,199635004.5031000000000,-6822277153.8873000000000,132998798665.2302000000000,160466900010.999000000000,27468101345.7688000000000,0.2065289432794686592311188250,PASS_DIAGNOSTIC_ONLY,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
ROU,Romania,709309100001.000000000,2029100000.0000,9129700000.0000,720467900001.000000000,823920300003.000000000,103452400002.000000000,0.1435905749608780757963527895,PASS_DIAGNOSTIC_ONLY,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
SRB,Serbia,4099816556383.573000000000,21623300137.234000000000,-26297305632.2952000000000,4095142550888.5118000000000,4765003400020.00000000,669860849131.4882000000000,0.1635744887528152924894290504,PASS_DIAGNOSTIC_ONLY,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
SVK,Slovak Republic,54197707641.5537000000000,417325739.3674000000000,477934701.5152000000000,55092968082.4363000000000,66804500007.0002000000000,11711531924.5639000000000,0.2125776180190507744599297072,PASS_DIAGNOSTIC_ONLY,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
SVN,Slovenia,27056542306.5650000000000,117770408.5868000000000,-644208308.8573000000000,26530104406.2945000000000,33673500003.0007000000000,7143395596.7062000000000,0.2692562187961599853631774993,PASS_DIAGNOSTIC_ONLY,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
SWE,Sweden,2317581846939.8084000000000,1873999743.2803000000000,16476997742.8123000000000,2335932844425.9010000000000,3418749000013.000000000,1082816155587.0990000000000,0.4635476392957783151390497422,PASS_DIAGNOSTIC_ONLY,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
SWZ,Eswatini,42820498571.512121000000000,0.000000000000000,-4366167675.53244000000000,38454330895.979681000000000,50277705887.5255000000000,11823374991.545819000000000,0.3074653677768692592156202422,PASS_DIAGNOSTIC_ONLY,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
TUR,Turkiye,4220527969621.6402000000000,0.9998000000000,-255391166346.117000000000,3965136803276.5230000000000,4606986900028.000000000,641850096751.4770000000000,0.1618733800612112921656826048,PASS_DIAGNOSTIC_ONLY,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
USA,United States,15683528063359.578000000000,0.000000000000,11415002197.2852000000000,15694943065556.8632000000000,17500403000000.000,1805459934443.1368000000000,0.1150345004057571788326617137,PASS_DIAGNOSTIC_ONLY,Measures third-party-financed consumption exposure after reconstructing HFCE with narcotics and net purchases abroad; it is not the PPP proxy error.
